*Vertices      79
     1 "Abdul Malik"    0.1775    0.4335
     2 "Abdul Rauf"    0.1558    0.4522
     3 "Abdul Rohim"    0.1766    0.4534
     4 "Abdullah Sunata"    0.1803    0.4487
     5 "Abdullah Sungkar"    0.1643    0.4485
     6 "Abu Bakar Ba'asyir"    0.1671    0.4490
     7 "Abu Dujanah"    0.1602    0.4461
     8 "Abu Fida"    0.1648    0.4558
     9 "Aceng Kurnia"    0.1755    0.4330
     10 "Achmad Hasan"    0.1601    0.4393
     11 "Adung"    0.1621    0.4435
     12 "Agus Ahmad"    0.1717    0.4625
     13 "Ahmad Rofiq Ridho"    0.1716    0.4525
     14 "Ahmad Sayid Maulana"    0.4968    0.8088
     15 "Ajengan Masduki"    0.2853    0.8500
     16 "Akram"    0.1733    0.4385
     17 "Ali Ghufron"    0.1639    0.4473
     18 "Anif Solchanudin"    0.1500    0.4531
     19 "Apuy"    0.1742    0.4618
     20 "Aris Munandar"    0.2003    0.4494
     21 "Asep Jaja"    0.1863    0.4461
     22 "Asmar Latin Sani"    0.1619    0.4518
     23 "Azhari Husin"    0.1653    0.4510
     24 "Baharudin Soleh"    0.1673    0.4525
     25 "Chandra"    0.1824    0.4585
     26 "Cholily"    0.1583    0.4341
     27 "Dani Chandra"    0.6517    0.7409
     28 "Dulmatin"    0.1685    0.4471
     29 "Enceng Kurnia"    0.1855    0.4428
     30 "Engkos Kosasih"    0.1742    0.4683
     31 "Fathurrahman al-Ghozi"    0.1683    0.4481
     32 "Fathurrochman"    0.1691    0.4628
     33 "Hambali"    0.1660    0.4447
     34 "Hari Kuncoro"    0.1827    0.4528
     35 "Harun"    0.1928    0.4506
     36 "Hence Malewa"    0.7591    0.6579
     37 "Heri Golun"    0.1748    0.4619
     38 "Heri Sigu Samboja"    0.1587    0.4435
     39 "Imam Bukhori"    0.1709    0.4543
     40 "Imam Samudra"    0.1659    0.4486
     41 "Iqbal "    0.8247    0.5645
     42 "Iqbal Huseini"    0.1934    0.4519
     43 "Irun Hidayat"    0.1686    0.4593
